name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
cg501141m_si_002_clean,argon,293.0,5.0,14.0,cg501141m_si_002_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.05757e-06,chunk_1
AMILUE_clean,argon,293.0,5.0,14.0,AMILUE_clean_argon_293.0K_5.0bar_14.0/Output/System_0,4.86551e-06,chunk_1
BUGSIG_clean,argon,293.0,5.0,14.0,BUGSIG_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.33887e-06,chunk_1
acscombsci.5b00188_24205_clean,argon,293.0,5.0,14.0,acscombsci.5b00188_24205_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.18517e-05,chunk_1
BUKRUW02_clean,argon,293.0,5.0,14.0,BUKRUW02_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.26835e-06,chunk_1
JIVSAJ01_clean,argon,293.0,5.0,14.0,JIVSAJ01_clean_argon_293.0K_5.0bar_14.0/Output/System_0,0.00014607,chunk_1
CAYDIR_clean,argon,293.0,5.0,14.0,CAYDIR_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.41913e-06,chunk_1
VUMBOW_clean,argon,293.0,5.0,14.0,VUMBOW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.78214e-06,chunk_1
VAKPOP_clean,argon,293.0,5.0,14.0,VAKPOP_clean_argon_293.0K_5.0bar_14.0/Output/System_0,1.84016e-06,chunk_1
BADYAJ_clean,argon,293.0,5.0,14.0,BADYAJ_clean_argon_293.0K_5.0bar_14.0/Output/System_0,2.65283e-06,chunk_1
FOQPAE01_clean,argon,293.0,5.0,14.0,FOQPAE01_clean_argon_293.0K_5.0bar_14.0/Output/System_0,6.12688e-06,chunk_1
AVESUR_clean,argon,293.0,5.0,14.0,AVESUR_clean_argon_293.0K_5.0bar_14.0/Output/System_0,5.02661e-06,chunk_1
OBUBIW_clean,argon,293.0,5.0,14.0,OBUBIW_clean_argon_293.0K_5.0bar_14.0/Output/System_0,7.50866e-07,chunk_1
