train_ratio,qt_frac,seed,R2,MAE,RMSE,MAPE(%)
0.75,0.75,2025,0.9612464657322672,0.16446357159645622,0.05249286627488565,5.349196639882208
0.75,0.75,2026,0.9606701323040507,0.16267366385376916,0.05150797141153869,5.164707830131796
0.75,0.75,2027,0.960140290521214,0.1642932651553398,0.0533692129228164,5.269303550106088
0.75,0.75,2028,0.9609361890320652,0.16692566634274195,0.05573772493066702,5.217456162207888
0.75,0.75,2029,0.9586020823931266,0.1675235129137811,0.054405051263535405,5.228441232426574
0.8,0.0,2025,0.9714412344048912,0.15837074569522205,0.05325176542088834,5.495178226483206
0.8,0.0,2026,0.9582933370258615,0.16443518658040077,0.0816179460731275,5.864641624145202
0.8,0.0,2027,0.9703806204410373,0.16060438568924437,0.05497100397372537,5.635186885500962
0.8,0.0,2028,0.9676610950701918,0.16316426074760496,0.05938937859050604,5.717061584081161
0.8,0.0,2029,0.9699752703124206,0.1676064930480145,0.05952392323514187,5.863397886752468
0.8,0.4,2025,0.9482759867673223,0.16684745790025302,0.07911124579788625,5.400804737830741
0.8,0.4,2026,0.9447702724378092,0.1689803656746475,0.08688953187064494,5.3899115870411345
0.8,0.4,2027,0.9652476092069548,0.1600178283887977,0.05345135277088401,5.246281207511291
0.8,0.4,2028,0.9652369135297378,0.16198535402235137,0.05359565068140655,5.355159224555467
0.8,0.4,2029,0.9645836566990975,0.16864345248705817,0.05446297818160049,5.495227815331793
0.8,0.8,2025,0.9569506632460432,0.16914390028340967,0.05638611733750747,5.292059018270877
0.8,0.8,2026,0.9576990849674019,0.16519113593900153,0.055632330525203964,5.258926622070111
0.8,0.8,2027,0.963227038755743,0.15872069325494095,0.047144644781349075,4.927659420391166
0.8,0.8,2028,0.9614166569760925,0.16400476545938197,0.05206540726407339,5.043134278413341
0.8,0.8,2029,0.9583253650908018,0.16372406916757465,0.055041133931293555,5.135167477391269
