name,gas,temp,pressure,cutoff,path,henry_coeff,source_chunk
IYOSUM_clean,argon,273.0,5.0,14.0,IYOSUM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,8.75305e-06,chunk_1
REYBAA_clean,argon,273.0,5.0,14.0,REYBAA_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.79892e-06,chunk_1
NIFTIH_clean,argon,273.0,5.0,14.0,NIFTIH_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.00842e-05,chunk_1
WEMFAX_clean,argon,273.0,5.0,14.0,WEMFAX_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.20341e-06,chunk_1
INIQUR_clean,argon,273.0,5.0,14.0,INIQUR_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.73278e-06,chunk_1
MAJJUF_clean,argon,273.0,5.0,14.0,MAJJUF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.72283e-06,chunk_1
TEJGEW_clean,argon,273.0,5.0,14.0,TEJGEW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.2728e-06,chunk_1
HAJYEZ_clean,argon,273.0,5.0,14.0,HAJYEZ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.44587e-05,chunk_1
WUGQAS_clean,argon,273.0,5.0,14.0,WUGQAS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.84281e-06,chunk_1
WUYYEW_clean,argon,273.0,5.0,14.0,WUYYEW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.85298e-06,chunk_1
acscombsci.5b00188_8372_clean,argon,273.0,5.0,14.0,acscombsci.5b00188_8372_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.25664e-06,chunk_1
HICZAW_clean,argon,273.0,5.0,14.0,HICZAW_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.13255e-05,chunk_1
COWMAD_clean,argon,273.0,5.0,14.0,COWMAD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.07978e-06,chunk_1
SETQUF_SL,argon,273.0,5.0,14.0,SETQUF_SL_argon_273.0K_5.0bar_14.0/Output/System_0,5.55769e-06,chunk_1
XASFAY_clean,argon,273.0,5.0,14.0,XASFAY_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.8999e-06,chunk_1
PUZLUS_clean,argon,273.0,5.0,14.0,PUZLUS_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.91235e-06,chunk_1
DIBQUC_clean,argon,273.0,5.0,14.0,DIBQUC_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.15187e-06,chunk_1
EPISOM_clean,argon,273.0,5.0,14.0,EPISOM_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.91244e-06,chunk_1
TAPXIT01_clean,argon,273.0,5.0,14.0,TAPXIT01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.65295e-06,chunk_1
ENISUQ_clean,argon,273.0,5.0,14.0,ENISUQ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.92354e-06,chunk_1
ALUKUO_clean,argon,273.0,5.0,14.0,ALUKUO_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.8781e-06,chunk_1
RIBDEN_clean,argon,273.0,5.0,14.0,RIBDEN_clean_argon_273.0K_5.0bar_14.0/Output/System_0,6.11664e-06,chunk_1
FEJDII01_clean,argon,273.0,5.0,14.0,FEJDII01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.8837e-06,chunk_1
HIYYEU_clean,argon,273.0,5.0,14.0,HIYYEU_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.59313e-06,chunk_1
IZEWAN_clean,argon,273.0,5.0,14.0,IZEWAN_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.04858e-05,chunk_1
MADVUJ_clean,argon,273.0,5.0,14.0,MADVUJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,4.97576e-06,chunk_1
MOYYEF_clean,argon,273.0,5.0,14.0,MOYYEF_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.25195e-06,chunk_1
VACFUB01_clean,argon,273.0,5.0,14.0,VACFUB01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.17529e-06,chunk_1
LAMFEK_clean,argon,273.0,5.0,14.0,LAMFEK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.21158e-06,chunk_1
BETGEO_clean,argon,273.0,5.0,14.0,BETGEO_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.95242e-06,chunk_1
DAXHIV01_clean,argon,273.0,5.0,14.0,DAXHIV01_clean_argon_273.0K_5.0bar_14.0/Output/System_0,5.84803e-06,chunk_1
ja406030p_si_009_manual,argon,273.0,5.0,14.0,ja406030p_si_009_manual_argon_273.0K_5.0bar_14.0/Output/System_0,8.02369e-06,chunk_1
JISVAJ_clean,argon,273.0,5.0,14.0,JISVAJ_clean_argon_273.0K_5.0bar_14.0/Output/System_0,3.74905e-06,chunk_1
LIDZUV_clean,argon,273.0,5.0,14.0,LIDZUV_clean_argon_273.0K_5.0bar_14.0/Output/System_0,2.79953e-05,chunk_1
LAPZEK_clean,argon,273.0,5.0,14.0,LAPZEK_clean_argon_273.0K_5.0bar_14.0/Output/System_0,1.00181e-05,chunk_1
XUMVAD_clean,argon,273.0,5.0,14.0,XUMVAD_clean_argon_273.0K_5.0bar_14.0/Output/System_0,7.11975e-06,chunk_1
